ID,AOUCode,TSN,CommonName,ScientificName,Family
,PBGR,174505,pied-billed grebe,Podilymbus podiceps,Podicipedidae
,DCCO,174717,double-crested cormorant,Phalacrocorax auritus,Phalacrocoracidae
,ANHI,174755,anhinga,Anhinga anhinga,Anhingidae
,GBHE,174773,great blue heron,Ardea herodias,Ardeidae
,GRHE,174793,green (green-backed) heron,Butorides virescens,Ardeidae
,CAEG,174803,cattle egret,Bubulcus ibis,Ardeidae
,SNEG,174813,snowy egret,Egretta thula,Ardeidae
,LBHE,174827,little blue heron,Egretta caerulea,Ardeidae
,BCNH,174832,black-crowned night-heron,Nycticorax nycticorax,Ardeidae
,LEBI,174846,least bittern,Ixobrychus exilis,Ardeidae
,AMBI,174856,american Bittern,Botaurus lentiginosus,Ardeidae
,WFIB,174926,white-faced ibis,Plegadis chihi,Threskiornithidae
,WHIB,174930,white ibis,Eudocimus albus,Threskiornithidae
,CANG,174999,canada goose,Branta canadensis,Anatidae
,MALL,175063,mallard,Anas platyrhynchos,Anatidae
,BWTE,175086,blue-winged teal,Anas discors,Anatidae
,CITE,175089,cinnamon teal,Anas cyanoptera,Anatidae
,NSHO,175096,northern shoveler,Anas clypeata,Anatidae
,WODU,175122,wood duck,Aix sponsa,Anatidae
,REDH,175125,redhead,Aythya americana,Anatidae
,HOME,175183,hooded merganser,Lophodytes cucullatus,Anatidae
,TUVU,175265,turkey vulture,Cathartes aura,Cathartidae
,BLVU,175272,black vulture,Coragyps atratus,Cathartidae
,SSHA,175304,sharp-shinned hawk,Accipiter striatus,Accipitridae
,COHA,175309,cooper's hawk,Accipiter cooperii,Accipitridae
,RTHA,175350,red-tailed hawk,Buteo jamaicensis,Accipitridae
,RSHA,175359,red-shouldered hawk,Buteo lineatus,Accipitridae
,BWHA,175365,broad-winged hawk,Buteo platypterus,Accipitridae
,SWHA,175367,swainson's hawk,Buteo swainsoni,Accipitridae
,BAEA,175420,bald eagle,Haliaeetus leucocephalus,Accipitridae
,NOHA,175430,northern harrier,Circus cyaneus,Accipitridae
,PEFA,175604,peregrine falcon,Falco peregrinus,Falconidae
,AMKE,175622,american kestrel,Falco sparverius,Falconidae
,GRPC,175834,greater prairie-chicken,Tympanuchus cupido,Phasianidae
,STGR,175841,sharp-tailed grouse,Tympanuchus phasianellus,Phasianidae
,NOBO,175863,northern bobwhite,Colinus virginianus,Odontophoridae
,RNEP,175905,ring-necked pheasant,Phasianus colchicus,Phasianidae
,WITU,176136,wild turkey,Meleagris gallopavo,Phasianidae
,KIRA,176207,king rail,Rallus elegans,Rallidae
,SORA,176242,sora,Porzana carolina,Rallidae
,COMO,176284,common moorhen,Gallinula chloropus,Rallidae
,AMCO,176292,american Coot,Fulica americana,Rallidae
,KILL,176520,killdeer,Charadrius vociferus,Charadriidae
,AMWO,176580,american woodcock,Scolopax minor,Scolopacidae
,UPSA,176610,upland sandpiper,Bartramia longicauda,Scolopacidae
,SOSA,176615,solitary sandpiper,Tringa solitaria,Scolopacidae
,SESA,176667,semipalmated sandpiper,Calidris pusilla,Scolopacidae
,BBSA,176684,buff-breasted sandpiper,Tryngites subruficollis,Scolopacidae
,COSN,176700,common snipe,Gallinago gallinago,Scolopacidae
,RNPH,176735,red-necked phalarope,Phalaropus lobatus,Scolopacidae
,RBGU,176830,ring-billed gull,Larus delawarensis,Laridae
,BLTE,176959,black tern,Chlidonias niger,Laridae
,ROPI,177071,rock pigeon,Columba livia,Columbidae
,WWDO,177121,white-winged dove,Zenaida asiatica,Columbidae
,MODO,177125,mourning dove,Zenaida macroura,Columbidae
,EUCD,177139,eurasian collared-dove,Streptopelia decaocto,Columbidae
,YBCU,177831,yellow-billed cuckoo,Coccyzus americanus,Cuculidae
,BBCU,177834,black-billed cuckoo,Coccyzus erythropthalmus,Cuculidae
,GHOW,177884,great horned owl,Bubo virginianus,Strigidae
,BADO,177921,barred owl,Strix varia,Strigidae
,BUOW,177946,burrowing owl,Athene cunicularia,Strigidae
,CONI,177979,common nighthawk,Chordeiles minor,Caprimulgidae
,CHSW,178001,chimney swift,Chaetura pelagica,Apodidae
,RTHU,178032,ruby-throated hummingbird,Archilochus colubris,Trochillidae
,BEKI,178106,belted kingfisher,Megaceryle alcyon,Alcedinidae
,UNWO,178148,Unidentified woodpecker,Unidentified woodpecker,Picidae
,NOFL,178154,northern flicker,Colaptes auratus,Picidae
,PIWO,178166,pileated woodpecker,Dryocopus pileatus,Picidae
,RHWO,178186,red-headed woodpecker,Melanerpes erythrocephalus,Picidae
,RBWO,178195,red-bellied woodpecker,Melanerpes carolinus,Picidae
,YBSA,178202,yellow-bellied sapsucker,Sphyrapicus varius,Picidae
,UNFL,178277,Unidentified flycatcher,Unidentified flycatcher,Tyrannidae
,EAKI,178279,eastern kingbird,Tyrannus tyrannus,Tyrannidae
,WEKI,178287,western kingbird,Tyrannus verticalis,Tyrannidae
,STFL,178293,scissor-tailed flycatcher,Tyrannus forficatus,Tyrannidae
,GCFL,178309,great crested flycatcher,Myiarchus crinitus,Tyrannidae
,EAPH,178329,eastern phoebe,Sayornis phoebe,Tyrannidae
,SAPH,178333,say's phoebe,Sayornis saya,Tyrannidae
,YBFL,178338,yellow-bellied flycatcher,Empidonax flaviventris,Tyrannidae
,ACFL,178339,acadian flycatcher,Empidonax virescens,Tyrannidae
