ItisTsn,ItisSname,LandbirdTsn,LandbirdSname
174505,Podilymbus podiceps,174505,Podilymbus podiceps
174717,Phalacrocorax auritus,174717,Phalacrocorax auritus
174755,Anhinga anhinga,174755,Anhinga anhinga
174773,Ardea herodias,174773,Ardea herodias
174793,Butorides virescens,174793,Butorides virescens
174803,Bubulcus ibis,174803,Bubulcus ibis
174813,Egretta thula,174813,Egretta thula
174827,Egretta caerulea,174827,Egretta caerulea
174832,Nycticorax nycticorax,174832,Nycticorax nycticorax
174846,Ixobrychus exilis,174846,Ixobrychus exilis
174856,Botaurus lentiginosus,174856,Botaurus lentiginosus
174926,Plegadis chihi,174926,Plegadis chihi
174930,Eudocimus albus,174930,Eudocimus albus
174999,Branta canadensis,174999,Branta canadensis
175063,Anas platyrhynchos,175063,Anas platyrhynchos
175086,Anas discors,175086,Anas discors
175089,Anas cyanoptera,175089,Anas cyanoptera
175096,Anas clypeata,175096,Anas clypeata
175122,Aix sponsa,175122,Aix sponsa
175125,Aythya americana,175125,Aythya americana
175183,Lophodytes cucullatus,175183,Lophodytes cucullatus
175265,Cathartes aura,175265,Cathartes aura
175272,Coragyps atratus,175272,Coragyps atratus
175304,Accipiter striatus,175304,Accipiter striatus
175309,Accipiter cooperii,175309,Accipiter cooperii
175350,Buteo jamaicensis,175350,Buteo jamaicensis
175359,Buteo lineatus,175359,Buteo lineatus
175365,Buteo platypterus,175365,Buteo platypterus
175367,Buteo swainsoni,175367,Buteo swainsoni
175420,Haliaeetus leucocephalus,175420,Haliaeetus leucocephalus
175430,Circus cyaneus,175430,Circus cyaneus
175604,Falco peregrinus,175604,Falco peregrinus
175622,Falco sparverius,175622,Falco sparverius
175834,Tympanuchus cupido,175834,Tympanuchus cupido
175841,Tympanuchus phasianellus,175841,Tympanuchus phasianellus
175863,Colinus virginianus,175863,Colinus virginianus
175905,Phasianus colchicus,175905,Phasianus colchicus
176136,Meleagris gallopavo,176136,Meleagris gallopavo
176207,Rallus elegans,176207,Rallus elegans
176242,Porzana carolina,176242,Porzana carolina
176284,Gallinula chloropus,176284,Gallinula chloropus
176292,Fulica americana,176292,Fulica americana
176520,Charadrius vociferus,176520,Charadrius vociferus
176580,Scolopax minor,176580,Scolopax minor
