ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyCount
Agate Fossil Beds,AGFO51,1,Jun  5 2003,Hardwood,2
Agate Fossil Beds,AGFO51,3,Jun  5 2003,Hardwood,1
Agate Fossil Beds,AGFO51,4,Jun  8 2006,Hardwood,1
Arkansas Post,ARPO1,1,Jun  5 2007,Hardwood,9
Arkansas Post,ARPO1,1,Jun  8 2011,Hardwood,9
Arkansas Post,ARPO1,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO1,1,May 21 2019,Hardwood,5
Arkansas Post,ARPO10,1,Jun  7 2007,Hardwood,2
Arkansas Post,ARPO10,1,Jun  7 2011,Hardwood,5
Arkansas Post,ARPO10,1,May 19 2015,Hardwood,6
Arkansas Post,ARPO10,1,May 20 2019,Hardwood,6
Arkansas Post,ARPO12,1,Jun  5 2007,Hardwood,7
Arkansas Post,ARPO12,1,Jun  8 2011,Hardwood,15
Arkansas Post,ARPO12,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO12,1,May 21 2019,Hardwood,7
Arkansas Post,ARPO13,1,Jun  5 2007,Hardwood,7
Arkansas Post,ARPO13,1,Jun  8 2011,Hardwood,14
Arkansas Post,ARPO13,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO13,1,May 21 2019,Hardwood,7
Arkansas Post,ARPO14,1,Jun  6 2007,Hardwood,10
Arkansas Post,ARPO14,1,Jun  8 2011,Hardwood,10
Arkansas Post,ARPO14,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO14,1,May 21 2019,Hardwood,7
Arkansas Post,ARPO15,1,Jun  6 2007,Hardwood,3
Arkansas Post,ARPO15,1,Jun  8 2011,Hardwood,7
Arkansas Post,ARPO15,1,May 18 2015,Hardwood,3
Arkansas Post,ARPO15,1,May 21 2019,Hardwood,6
Arkansas Post,ARPO16,1,Jun  5 2007,Hardwood,16
Arkansas Post,ARPO16,1,Jun  8 2011,Hardwood,15
Arkansas Post,ARPO16,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO16,1,May 21 2019,Hardwood,11
Arkansas Post,ARPO17,1,Jun  5 2007,Hardwood,9
Arkansas Post,ARPO17,1,Jun  8 2011,Hardwood,12
Arkansas Post,ARPO17,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO17,1,May 21 2019,Hardwood,9
Arkansas Post,ARPO18,1,Jun  6 2007,Hardwood,1
Arkansas Post,ARPO18,1,Jun  8 2011,Hardwood,9
Arkansas Post,ARPO18,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO18,1,May 20 2019,Hardwood,10
Arkansas Post,ARPO19,1,Jun  6 2007,Conifer,1
Arkansas Post,ARPO19,1,Jun  6 2007,Hardwood,11
Arkansas Post,ARPO19,1,Jun  8 2011,Conifer,2
Arkansas Post,ARPO19,1,Jun  8 2011,Hardwood,11
Arkansas Post,ARPO19,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO19,1,May 21 2019,Conifer,1
Arkansas Post,ARPO19,1,May 21 2019,Hardwood,15
Arkansas Post,ARPO2,1,Jun  5 2007,Conifer,3
Arkansas Post,ARPO2,1,Jun  5 2007,Hardwood,6
Arkansas Post,ARPO2,1,Jun  8 2011,Conifer,2
Arkansas Post,ARPO2,1,Jun  8 2011,Hardwood,10
Arkansas Post,ARPO2,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO2,1,May 21 2019,Conifer,2
Arkansas Post,ARPO2,1,May 21 2019,Hardwood,8
Arkansas Post,ARPO20,1,Jun  6 2007,Hardwood,5
Arkansas Post,ARPO20,1,Jun  8 2011,Hardwood,9
Arkansas Post,ARPO20,1,May 18 2015,Hardwood,5
Arkansas Post,ARPO20,1,May 21 2019,Hardwood,6
Arkansas Post,ARPO21,1,May 18 2015,Hardwood,3
Arkansas Post,ARPO21,1,May 20 2019,Hardwood,3
Arkansas Post,ARPO22,1,Jun  5 2007,Hardwood,8
Arkansas Post,ARPO22,1,Jun  8 2011,Conifer,4
Arkansas Post,ARPO22,1,Jun  8 2011,Hardwood,7
Arkansas Post,ARPO22,1,May 18 2015,Conifer,3
Arkansas Post,ARPO22,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO22,1,May 21 2019,Hardwood,10
Arkansas Post,ARPO23,1,Jun  6 2007,Conifer,3
Arkansas Post,ARPO23,1,Jun  6 2007,Hardwood,8
Arkansas Post,ARPO23,1,Jun  8 2011,Conifer,7
Arkansas Post,ARPO23,1,Jun  8 2011,Hardwood,5
Arkansas Post,ARPO23,1,May 18 2015,Conifer,3
Arkansas Post,ARPO23,1,May 18 2015,Hardwood,1
Arkansas Post,ARPO23,1,May 20 2019,Conifer,6
Arkansas Post,ARPO23,1,May 20 2019,Hardwood,3
Arkansas Post,ARPO24,1,Jun  5 2007,Hardwood,6
Arkansas Post,ARPO24,1,Jun  8 2011,Hardwood,8
Arkansas Post,ARPO24,1,May 18 2015,Hardwood,8
Arkansas Post,ARPO24,1,May 21 2019,Hardwood,10
Arkansas Post,ARPO25,1,Jun  6 2007,Hardwood,3
Arkansas Post,ARPO25,1,Jun  8 2011,Conifer,2
Arkansas Post,ARPO25,1,Jun  8 2011,Hardwood,4
Arkansas Post,ARPO25,1,May 18 2015,Hardwood,2
Arkansas Post,ARPO25,1,May 20 2019,Hardwood,5
Arkansas Post,ARPO26,1,Jun  5 2007,Hardwood,3
Arkansas Post,ARPO26,1,Jun  7 2011,Conifer,2
Arkansas Post,ARPO26,1,Jun  7 2011,Hardwood,3
Arkansas Post,ARPO26,1,May 18 2015,Conifer,1
Arkansas Post,ARPO26,1,May 18 2015,Hardwood,2
Arkansas Post,ARPO26,1,May 20 2019,Hardwood,3
Arkansas Post,ARPO27,1,Jun  5 2007,Hardwood,11
Arkansas Post,ARPO27,1,Jun  7 2011,Hardwood,13
Arkansas Post,ARPO27,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO27,1,May 20 2019,Hardwood,10
Arkansas Post,ARPO28,1,Jun  7 2007,Hardwood,7
Arkansas Post,ARPO28,1,May 19 2015,Hardwood,7
Arkansas Post,ARPO3,1,Jun  5 2007,Hardwood,11
Arkansas Post,ARPO3,1,Jun  8 2011,Hardwood,6
Arkansas Post,ARPO3,1,May 18 2015,Hardwood,3
Arkansas Post,ARPO3,1,May 21 2019,Hardwood,9
Arkansas Post,ARPO30,1,Jun  7 2007,Hardwood,11
Arkansas Post,ARPO30,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO30,1,May 19 2015,Hardwood,10
Arkansas Post,ARPO30,1,May 20 2019,Hardwood,11
