ParkUnit,Plot,EventID,EventDateTime,Temperature_C,WindSpeed,WindDesc,Rain,PercentCloud,Noise,NoiseSummary,Interval,ObservationNumber,AOUCode,TSN,ScientificName,Family,CommonName,Distance,DetectionType,Sex,Age,FlockSize,IsPreviousPlot,IsFlyover
Herbert Hoover,HEHO7,HEHO2005Jun040815AM,2005-06-04 08:15:00.000,21,(2-5 km/h),smoke drifts,light drizzle,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,6,AMGO,179249,Spinus tristis,Fringillidae,american goldfinch,48,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2005Jun040815AM,2005-06-04 08:15:00.000,21,(2-5 km/h),smoke drifts,light drizzle,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,BLJA,179680,Cyanocitta cristata,Corvidae,blue jay,51,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2005Jun040815AM,2005-06-04 08:15:00.000,21,(2-5 km/h),smoke drifts,light drizzle,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,BHCO,179112,Molothrus ater,Icteridae,brown-headed cowbird,28,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2005Jun040815AM,2005-06-04 08:15:00.000,21,(2-5 km/h),smoke drifts,light drizzle,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,MODO,177125,Zenaida macroura,Columbidae,mourning dove,-9999,Seen First,Unk,Adult,1,0,1
Herbert Hoover,HEHO7,HEHO2005Jun040815AM,2005-06-04 08:15:00.000,21,(2-5 km/h),smoke drifts,light drizzle,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,COGR,179104,Quiscalus quiscula,Icteridae,common grackle,-9999,Seen First,Male,Adult,1,0,1
Herbert Hoover,HEHO7,HEHO2005Jun040815AM,2005-06-04 08:15:00.000,21,(2-5 km/h),smoke drifts,light drizzle,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,54,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2005Jun040827AM,2005-06-04 08:27:00.000,21,(6-12 km/h),"light breeze felt on face, leaves rustle",light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,4,BARS,178448,Hirundo rustica,Hirundinidae,barn swallow,-9999,Seen First,Unk,Adult,1,0,1
Herbert Hoover,HEHO8,HEHO2005Jun040827AM,2005-06-04 08:27:00.000,21,(6-12 km/h),"light breeze felt on face, leaves rustle",light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,1,EAME,179034,Sturnella magna,Icteridae,eastern meadowlark,115,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2005Jun040827AM,2005-06-04 08:27:00.000,21,(6-12 km/h),"light breeze felt on face, leaves rustle",light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,2,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,97,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2005Jun040827AM,2005-06-04 08:27:00.000,21,(6-12 km/h),"light breeze felt on face, leaves rustle",light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,69,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO9,HEHO2005Jun040837AM,2005-06-04 08:37:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,1,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,-9999,Heard Then Seen,Male,Adult,1,0,1
Herbert Hoover,HEHO9,HEHO2005Jun040837AM,2005-06-04 08:37:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,medium noise,"  detection radius is probably substantially reduced",>3-5 min,2,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,-9999,Heard Then Seen,Male,Adult,2,0,1
Herbert Hoover,HEHO9,HEHO2005Jun040837AM,2005-06-04 08:37:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,medium noise,"  detection radius is probably substantially reduced",>3-5 min,3,EUST,179637,Sturnus vulgaris,Sturnidae,european starling,-9999,Heard Then Seen,Unk,Adult,3,0,1
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,69,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,7,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,275,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,6,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,272,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,111,Seen First,Male,Adult,1,0,0
