ID,TaxonCode,TSN,ScientificName,Family,CommonName,IsProvisional,IsValid,ValidTaxon,DateCreated,AOUCode
1,ABDU,175068,Anas rubripes,Anatidae,american black duck,0,0,NULL,2015-06-08 16:32:58.8670000,NULL
2,ACFL,178339,Empidonax virescens,Tyrannidae,acadian flycatcher,0,1,NULL,2015-06-08 16:32:58.8900000,NULL
3,AGWT,175081,Anas crecca,Anatidae,green-winged teal,0,0,NULL,2015-06-08 16:32:58.9230000,NULL
4,AMAV,176721,Recurvirostra americana,Recurvirostridae,american avocet,0,1,NULL,2015-06-08 16:32:58.9470000,NULL
5,AMBI,174856,Botaurus lentiginosus,Ardeidae,american Bittern,0,1,NULL,2015-06-08 16:32:58.9730000,NULL
6,AMCO,176292,Fulica americana,Rallidae,american Coot,0,1,NULL,2015-06-08 16:32:59.0030000,NULL
7,AMCR,179731,Corvus brachyrhynchos,Corvidae,american crow,0,1,NULL,2015-06-08 16:32:59.0230000,NULL
8,AMGO,179249,Spinus tristis,Fringillidae,american goldfinch,0,1,NULL,2015-06-08 16:32:59.0470000,NULL
9,AMKE,175622,Falco sparverius,Falconidae,american kestrel,0,1,NULL,2015-06-08 16:32:59.0730000,NULL
10,AMPI,554127,Anthus rubescens,Motacillidae,american pipit,0,0,NULL,2015-06-08 16:32:59.1200000,NULL
11,AMRE,178979,Setophaga ruticilla,Parulidae,american redstart,0,1,NULL,2015-06-08 16:32:59.1470000,NULL
12,AMRO,179759,Turdus migratorius,Turdidae,american robin,0,1,NULL,2015-06-08 16:32:59.1700000,NULL
13,AMWO,176580,Scolopax minor,Scolopacidae,american woodcock,0,1,NULL,2015-06-08 16:32:59.1930000,NULL
14,ANHI,174755,Anhinga anhinga,Anhingidae,anhinga,0,1,NULL,2015-06-08 16:32:59.2170000,NULL
15,ATSP,997961,Spizelloides arborea,Emberizidae,american tree sparrow,0,0,NULL,2015-06-08 16:32:59.2430000,NULL
16,BACS,997733,Peucaea aestivalis,Emberizidae,bachman's Sparrow,0,1,NULL,2015-06-08 16:32:59.2670000,NULL
17,BAEA,175420,Haliaeetus leucocephalus,Accipitridae,bald eagle,0,0,NULL,2015-06-08 16:32:59.3000000,NULL
18,BANS,178436,Riparia riparia,Hirundinidae,bank swallow,0,1,NULL,2015-06-08 16:32:59.3300000,NULL
19,BAOR,179083,Icterus galbula,Icteridae,northern oriole,0,1,NULL,2015-06-08 16:32:59.3670000,NULL
20,BARS,178448,Hirundo rustica,Hirundinidae,barn swallow,0,1,NULL,2015-06-08 16:32:59.3900000,NULL
21,BAWW,178844,Mniotilta varia,Parulidae,black-and-white warbler,0,1,NULL,2015-06-08 16:32:59.4070000,NULL
22,BBCU,177834,Coccyzus erythropthalmus,Cuculidae,black-billed cuckoo,0,1,NULL,2015-06-08 16:32:59.4270000,NULL
