ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
Arkansas Post,ARPO1,1,Jun  5 2007,Hardwood,23
Arkansas Post,ARPO1,1,Jun  8 2011,Hardwood,22.4
Arkansas Post,ARPO1,1,May 18 2015,Hardwood,37
Arkansas Post,ARPO1,1,May 21 2019,Hardwood,30.5
Arkansas Post,ARPO1,1,May 21 2019,Conifer,0.5
Arkansas Post,ARPO10,1,Jun  7 2007,Hardwood,5
Arkansas Post,ARPO10,1,Jun  7 2011,Hardwood,13.1
Arkansas Post,ARPO10,1,May 19 2015,Hardwood,13.5
Arkansas Post,ARPO10,1,May 20 2019,Hardwood,13
Arkansas Post,ARPO10,1,May 20 2019,Conifer,0.4
Arkansas Post,ARPO11,1,May 19 2015,Hardwood,6
Arkansas Post,ARPO12,1,Jun  5 2007,Hardwood,8
Arkansas Post,ARPO12,1,Jun  8 2011,Hardwood,27.5
Arkansas Post,ARPO12,1,May 18 2015,Hardwood,40
Arkansas Post,ARPO12,1,May 21 2019,Hardwood,0
Arkansas Post,ARPO13,1,Jun  5 2007,Hardwood,32.5
Arkansas Post,ARPO13,1,Jun  8 2011,Hardwood,7.2
Arkansas Post,ARPO13,1,May 18 2015,Hardwood,39
Arkansas Post,ARPO13,1,May 21 2019,Hardwood,11.5
Arkansas Post,ARPO14,1,Jun  6 2007,Hardwood,28
Arkansas Post,ARPO14,1,Jun  8 2011,Hardwood,29
Arkansas Post,ARPO14,1,May 18 2015,Hardwood,30
Arkansas Post,ARPO14,1,May 21 2019,Hardwood,25.5
Arkansas Post,ARPO15,1,Jun  6 2007,Hardwood,4
Arkansas Post,ARPO15,1,Jun  8 2011,Hardwood,31.7
Arkansas Post,ARPO15,1,May 18 2015,Hardwood,44
Arkansas Post,ARPO15,1,May 21 2019,Hardwood,8
Arkansas Post,ARPO16,1,Jun  5 2007,Hardwood,32
Arkansas Post,ARPO16,1,Jun  8 2011,Hardwood,30.9
Arkansas Post,ARPO16,1,May 18 2015,Hardwood,33
Arkansas Post,ARPO16,1,May 21 2019,Hardwood,32
Arkansas Post,ARPO17,1,Jun  5 2007,Hardwood,30
Arkansas Post,ARPO17,1,Jun  8 2011,Hardwood,28.5
Arkansas Post,ARPO17,1,May 18 2015,Hardwood,40
Arkansas Post,ARPO17,1,May 21 2019,Hardwood,32.5
Arkansas Post,ARPO18,1,Jun  6 2007,Hardwood,14
Arkansas Post,ARPO18,1,Jun  8 2011,Hardwood,14
Arkansas Post,ARPO18,1,May 18 2015,Hardwood,22
Arkansas Post,ARPO18,1,May 20 2019,Hardwood,19.5
Arkansas Post,ARPO19,1,Jun  6 2007,Conifer,9
Arkansas Post,ARPO19,1,Jun  6 2007,Hardwood,17
Arkansas Post,ARPO19,1,Jun  8 2011,Hardwood,28.7
Arkansas Post,ARPO19,1,May 18 2015,Hardwood,35
Arkansas Post,ARPO19,1,May 21 2019,Hardwood,16.5
Arkansas Post,ARPO2,1,Jun  5 2007,Conifer,15
Arkansas Post,ARPO2,1,Jun  5 2007,Hardwood,21
Arkansas Post,ARPO2,1,Jun  8 2011,Conifer,11.8
Arkansas Post,ARPO2,1,Jun  8 2011,Hardwood,16.3
Arkansas Post,ARPO2,1,May 18 2015,Hardwood,30
Arkansas Post,ARPO2,1,May 21 2019,Hardwood,28.5
Arkansas Post,ARPO2,1,May 21 2019,Conifer,11
Arkansas Post,ARPO20,1,Jun  6 2007,Hardwood,5
Arkansas Post,ARPO20,1,Jun  8 2011,Hardwood,17.3
