ID,Code,Name,Summary,NumericClass,Range,MidpointValue,PC-LTEM_CoverClass,PC-LTEM_Range,PC-LTEM_MidpointValue,DateCreated
1,0,0,Add Description,0,No cover,0,0,No cover,0,2015-06-08 16:31:55.0170000
2,1,1,Add Description,1,trace - 1%,0.5,1,trace - 1%,0.5,2015-06-08 16:31:55.0430000
3,-1,-1,Add Description,-1,No data,NULL,-1,No data,NULL,2015-06-08 16:31:55.0700000
4,2,2,Add Description,2,1 - 5%,3,2,1 - 5%,3,2015-06-08 16:31:55.1000000
5,3,3,Add Description,3,5 - 25%,15,3,5 - 25%,15,2015-06-08 16:31:55.1270000
6,4,4,Add Description,4,25 - 50%,37.5,4,25 - 50%,37.5,2015-06-08 16:31:55.1670000
7,5,5,Add Description,5,50 - 75%,62.5,5,50 - 75%,62.5,2015-06-08 16:31:55.1930000
8,6,6,Add Description,6,75 - 95%,85,6,75 - 95%,85,2015-06-08 16:31:55.2230000
9,7,7,Add Description,7,95 - 100%,97.5,7,95 - 100%,97.5,2015-06-08 16:31:55.2500000
10,K1,K1,Add Description,NULL,trace - 1%,0.5,1,trace - 1%,0.5,2015-06-08 16:31:55.2770000
11,K2,K2,Add Description,NULL,1 - 10%,5.5,2.5,"1 - 5, 5 - 25%",5.5,2015-06-08 16:31:55.3030000
12,K3,K3,Add Description,NULL,10 - 50%,30,3.5,"5 - 25, 25 - 50%",30,2015-06-08 16:31:55.3270000
13,K4,K4,Add Description,NULL,50 - 100%,75,5.5,"50-75, 75-95, 95-100%",75,2015-06-08 16:31:55.3500000
14,N1,N1,Add Description,NULL,trace - 0.1%,0.05000000074505806,1,trace - 1%,0.5,2015-06-08 16:31:55.3830000
15,N2,N2,Add Description,NULL,0.1 - 1%,0.550000011920929,1,trace - 1%,0.5,2015-06-08 16:31:55.4130000
16,N3,N3,Add Description,NULL,1 - 2 %,1.5,2,1 - 5%,3,2015-06-08 16:31:55.4430000
17,N4,N4,Add Description,NULL,2 - 5%,3.5,2,1 - 5%,3,2015-06-08 16:31:55.4770000
18,N5,N5,Add Description,NULL,5 - 10%,7.5,3,5 - 25%,15,2015-06-08 16:31:55.5070000
19,N6,N6,Add Description,NULL,10 - 25%,17.5,3,5 - 25%,15,2015-06-08 16:31:55.8000000
20,N7,N7,Add Description,NULL,25 - 50%,37.5,4,25 - 50%,37.5,2015-06-08 16:31:55.8370000
21,N8,N8,Add Description,NULL,50 - 75%,62.5,5,50 - 75%,62.5,2015-06-08 16:31:55.8670000
22,N9,N9,Add Description,NULL,75 - 95%,85,6,75 - 95%,85,2015-06-08 16:31:55.9000000
23,NTen,NTen,Add Description,NULL,95 - 100%,97.5,7,95 - 100%,97.5,2015-06-08 16:31:56.1530000
