ParkUnit,Plot,SubPlot,EventDate,Distance,Height,CoverClassCode,CoverClassMidPoint,CoverClassRange
Agate Fossil Beds,AGFO1,1,Jun  4 2003,15 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,1,Jun  4 2003,5 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,1,Jun  4 2003,15 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,1,Jun  4 2003,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,1,Jun  4 2003,5 m distance,1.0 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,1,Jun  6 2005,5 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO1,1,Jun  6 2005,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,1,Jun  6 2005,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,1,Jun  6 2005,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,1,Jun  6 2006,15 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO1,1,Jun  6 2006,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,1,Jun  6 2006,15 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,1,Jun  6 2006,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,1,Jun  8 2004,5 m distance,0.50 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,1,Jun  8 2004,15 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,1,Jun  8 2004,15 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,1,Jun  8 2004,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,1,May  7 2001,2 m distance,0.50 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,1,May  7 2001,5 m distance,0.50 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,1,May  7 2001,15 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,2,Jun  4 2003,5 m distance,0.50 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,2,Jun  4 2003,15 m distance,0.50 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,2,Jun  4 2003,15 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,2,Jun  4 2003,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,2,Jun  6 2005,5 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO1,2,Jun  6 2005,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,2,Jun  6 2005,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,2,Jun  6 2005,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,2,Jun  6 2006,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,2,Jun  6 2006,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,2,Jun  6 2006,15 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,2,Jun  6 2006,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,2,Jun  8 2004,5 m distance,0.50 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,2,Jun  8 2004,15 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,2,Jun  8 2004,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,2,May  7 2001,15 m distance,0.50 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,3,Jun  4 2003,15 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,3,Jun  4 2003,5 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,3,Jun  4 2003,15 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,3,Jun  4 2003,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,3,Jun  6 2005,5 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO1,3,Jun  6 2005,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,3,Jun  6 2005,15 m distance,0.75 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,3,Jun  6 2005,5 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,3,Jun  6 2006,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,3,Jun  6 2006,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,3,Jun  6 2006,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,3,Jun  6 2006,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,3,Jun  8 2004,5 m distance,0.50 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,3,Jun  8 2004,15 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO1,3,Jun  8 2004,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,3,Jun  8 2004,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,3,May  7 2001,15 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,4,Jun  4 2003,5 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,4,Jun  4 2003,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,4,Jun  4 2003,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,4,Jun  4 2003,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,4,Jun  4 2003,15 m distance,1.0 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,4,Jun  4 2003,5 m distance,1.0 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,4,Jun  6 2005,5 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO1,4,Jun  6 2005,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,4,Jun  6 2005,5 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO1,4,Jun  6 2005,15 m distance,0.75 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,4,Jun  6 2006,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,4,Jun  6 2006,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,4,Jun  6 2006,15 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,4,Jun  6 2006,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,4,Jun  8 2004,5 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO1,4,Jun  8 2004,15 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO1,4,Jun  8 2004,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,4,Jun  8 2004,15 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO1,4,Jun  8 2004,15 m distance,1.0 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,4,Jun  8 2004,5 m distance,1.0 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO1,4,May  7 2001,15 m distance,0.50 m,2,3,1 - 5%
Agate Fossil Beds,AGFO10,1,Jun  3 2003,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO10,1,Jun  3 2003,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,1,Jun  3 2003,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO10,1,Jun  3 2003,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO10,1,Jun  7 2004,5 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO10,1,Jun  7 2004,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,1,Jun  7 2004,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO10,1,Jun  7 2004,15 m distance,0.75 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO10,1,Jun  7 2005,5 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,1,Jun  7 2005,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,1,Jun  7 2005,5 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO10,1,Jun  7 2005,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO10,1,Jun  7 2006,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,1,Jun  7 2006,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO10,1,Jun  7 2006,15 m distance,0.75 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO10,1,Jun  7 2006,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO10,1,May  8 2001,2 m distance,0.50 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO10,1,May  8 2001,5 m distance,0.50 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO10,1,May  8 2001,15 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO10,2,Jun  3 2003,5 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO10,2,Jun  3 2003,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2,Jun  3 2003,15 m distance,0.75 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO10,2,Jun  3 2003,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO10,2,Jun  7 2004,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO10,2,Jun  7 2004,15 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO10,2,Jun  7 2004,5 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO10,2,Jun  7 2004,15 m distance,0.75 m,2,3,1 - 5%
Agate Fossil Beds,AGFO10,2,Jun  7 2005,5 m distance,0.50 m,5,62.5,50 - 75%
Agate Fossil Beds,AGFO10,2,Jun  7 2005,15 m distance,0.50 m,6,85,75 - 95%
Agate Fossil Beds,AGFO10,2,Jun  7 2005,15 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO10,2,Jun  7 2005,5 m distance,0.75 m,3,15,5 - 25%
Agate Fossil Beds,AGFO10,2,Jun  7 2006,5 m distance,0.50 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO10,2,Jun  7 2006,15 m distance,0.50 m,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,2,Jun  7 2006,15 m distance,0.75 m,4,37.5,25 - 50%
Agate Fossil Beds,AGFO10,2,Jun  7 2006,5 m distance,0.75 m,1,0.5,trace - 1%
Agate Fossil Beds,AGFO10,2,May  8 2001,15 m distance,0.50 m,4,37.5,25 - 50%
