ParkUnit,Plot,EventDate,VegType,CovClass,MidpointValue,Range
Agate Fossil Beds,AGFO1,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO1,May  7 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO10,Jun  7 2006,Drainage,2,3,1 - 5%
Agate Fossil Beds,AGFO10,Jun  7 2006,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO10,May  8 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,Jun  3 2003,Pasture Road,3,15,5 - 25%
Agate Fossil Beds,AGFO11,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,Jun  7 2006,Pasture Road,3,15,5 - 25%
Agate Fossil Beds,AGFO11,Jun  7 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO11,May  8 2001,Pasture Road,3,15,5 - 25%
Agate Fossil Beds,AGFO11,May  8 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,Jun  7 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO12,May  8 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,Jun  7 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO13,May  8 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,Jun  3 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,Jun  7 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO14,May  8 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,Jun  5 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,Jun  8 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,Jun  8 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO15,Jun  9 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,Jun  5 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,Jun  8 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,Jun  8 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO16,Jun  9 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO17,Jun  3 2003,Shrub,3,15,5 - 25%
Agate Fossil Beds,AGFO17,Jun  3 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,Jun  3 2003,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO17,Jun  3 2003,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO17,Jun  7 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO17,Jun  7 2004,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO17,Jun  7 2005,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO17,Jun  7 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO17,Jun  7 2006,Pasture Road,2,3,1 - 5%
Agate Fossil Beds,AGFO17,Jun  7 2006,Shrub,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO17,Jun  7 2006,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO17,May  8 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO17,May  8 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,Jun  3 2003,Shrub,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,Jun  3 2003,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO18,Jun  3 2003,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO18,Jun  3 2003,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO18,Jun  7 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO18,Jun  7 2004,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,Jun  7 2005,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO18,Jun  7 2005,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO18,Jun  7 2005,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO18,Jun  7 2006,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,Jun  7 2006,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,May  8 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO18,May  8 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,Jun  7 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2004,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,Jun  7 2005,Disturbed Floodplain,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,Jun  7 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2005,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2006,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  7 2006,Wetland,2,3,1 - 5%
Agate Fossil Beds,AGFO19,May  8 2001,Intermittent Water Cover,3,15,5 - 25%
Agate Fossil Beds,AGFO19,May  8 2001,Wetland,5,62.5,50 - 75%
