LocationID,PeriodID,SubPlotNumber
EFMO1,EFMOTweety2017May20,0
EFMO12,EFMOTweety2017May20,0
EFMO15,EFMOTweety2017May20,0
EFMO16,EFMOTweety2017May20,0
EFMO17,EFMOTweety2017May20,0
EFMO18,EFMOTweety2017May20,0
EFMO19,EFMOTweety2017May20,0
EFMO2,EFMOTweety2017May20,0
EFMO22,EFMOTweety2017May20,0
EFMO24,EFMOTweety2017May20,0
EFMO25,EFMOTweety2017May20,0
EFMO26,EFMOTweety2017May20,0
EFMO27,EFMOTweety2017May20,0
EFMO3,EFMOTweety2017May20,0
EFMO33,EFMOTweety2017May20,0
EFMO34,EFMOTweety2017May20,0
EFMO37,EFMOTweety2017May20,0
EFMO38,EFMOTweety2017May20,0
EFMO39,EFMOTweety2017May20,0
EFMO4,EFMOTweety2017May20,0
EFMO40,EFMOTweety2017May20,0
EFMO41,EFMOTweety2017May20,0
EFMO42,EFMOTweety2017May20,0
EFMO43,EFMOTweety2017May20,0
EFMO44,EFMOTweety2017May20,0
EFMO45,EFMOTweety2017May20,0
EFMO46,EFMOTweety2017May20,0
EFMO47,EFMOTweety2017May20,0
EFMO5,EFMOTweety2017May20,0
EFMO6,EFMOTweety2017May20,0
EFMO8,EFMOTweety2017May20,0
EFMO9,EFMOTweety2017May20,0
HEHO1,HEHOTweety2017May 24,0
HEHO10,HEHOTweety2017May 24,0
HEHO11,HEHOTweety2017May 24,0
HEHO12,HEHOTweety2017May 24,0
HEHO13,HEHOTweety2017May 24,0
HEHO14,HEHOTweety2017May 24,0
HEHO15,HEHOTweety2017May 24,0
HEHO17,HEHOTweety2017May 24,0
HEHO18,HEHOTweety2017May 24,0
HEHO19,HEHOTweety2017May 24,0
HEHO2,HEHOTweety2017May 24,0
HEHO20,HEHOTweety2017May 24,0
HEHO21,HEHOTweety2017May 24,0
HEHO22,HEHOTweety2017May 24,0
HEHO23,HEHOTweety2017May 24,0
HEHO24,HEHOTweety2017May 24,0
HEHO25,HEHOTweety2017May 24,0
HEHO26,HEHOTweety2017May 24,0
HEHO27,HEHOTweety2017May 24,0
HEHO28,HEHOTweety2017May 24,0
HEHO29,HEHOTweety2017May 24,0
HEHO3,HEHOTweety2017May 24,0
HEHO30,HEHOTweety2017May 24,0
HEHO31,HEHOTweety2017May 24,0
HEHO32,HEHOTweety2017May 24,0
HEHO33,HEHOTweety2017May 24,0
HEHO34,HEHOTweety2017May 24,0
HEHO35,HEHOTweety2017May 24,0
HEHO36,HEHOTweety2017May 24,0
HEHO37,HEHOTweety2017May 24,0
HEHO38,HEHOTweety2017May 24,0
HEHO4,HEHOTweety2017May 24,0
HEHO5,HEHOTweety2017May 24,0
