TSN,hierarchy_string,LandbirdTsn,LandbirdSname
174505,202423-914154-914156-158852-331030-914179-914181-174371-174476-174477-174504-174505,174505,Podilymbus podiceps
174773,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174772-174773,174773,Ardea herodias
554135,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174772-554135,554135,Ardea alba
174793,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174792-174793,174793,Butorides virescens
174803,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174802-174803,174803,Bubulcus ibis
174813,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174812-174813,174813,Egretta thula
174827,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174812-174827,174827,Egretta caerulea
174832,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823967-174831-174832,174832,Nycticorax nycticorax
174846,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823968-174845-174846,174846,Ixobrychus exilis
174856,202423-914154-914156-158852-331030-914179-914181-174371-174670-174771-823968-174855-174856,174856,Botaurus lentiginosus
174926,202423-914154-914156-158852-331030-914179-914181-174371-174670-174922-823973-174923-174926,174926,Plegadis chihi
174930,202423-914154-914156-158852-331030-914179-914181-174371-174670-174922-823973-174929-174930,174930,Eudocimus albus
174999,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-174998-174999,174999,Branta canadensis
175063,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175062-175063,175063,Anas platyrhynchos
178329,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178328-178329,178329,Sayornis phoebe
178333,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178328-178333,178333,Sayornis saya
178338,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178337-178338,178338,Empidonax flaviventris
178339,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178337-178339,178339,Empidonax virescens
178340,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178337-178340,178340,Empidonax alnorum
178341,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178337-178341,178341,Empidonax traillii
178344,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178337-178344,178344,Empidonax minimus
178348,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178337-178348,178348,Empidonax difficilis
178359,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178355-178359,178359,Contopus virens
554221,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178355-554221,554221,Contopus cooperi
554256,202423-914154-914156-158852-331030-914179-914181-174371-178265-178396-178400-554256,554256,Eremophila alpestris
178423,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423,178423,Unidentified swallow
178431,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423-178426-178431,178431,Tachycineta bicolor
178436,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423-178435-178436,178436,Riparia riparia
178443,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423-178439-178443,178443,Stelgidopteryx serripennis
178448,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423-178447-178448,178448,Hirundo rustica
178455,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423-178454-178455,178455,Petrochelidon pyrrhonota
178464,202423-914154-914156-158852-331030-914179-914181-174371-178265-178423-178463-178464,178464,Progne subis
179276,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179275-179276,179276," eastern towhee"""
554380,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179275-554380,554380,Pipilo maculatus
179312,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179311-179312,179312,Calamospiza melanocorys
179314,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179313-179314,179314,Passerculus sandwichensis
179333,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179332-179333,179333,Ammodramus savannarum
179366,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179365-179366,179366,Pooecetes gramineus
179371,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179370-179371,179371,Chondestes grammacus
179410,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179409-179410,179410,Junco hyemalis
179435,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179431-179435,179435,Spizella passerina
179439,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179431-179439,179439,Spizella pallida
179443,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179431-179443,179443,Spizella pusilla
179455,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179453-179455,179455,Zonotrichia leucophrys
179462,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179453-179462,179462,Zonotrichia albicollis
179484,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179483-179484,179484,Melospiza lincolnii
179488,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179483-179488,179488,Melospiza georgiana
179492,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-179483-179492,179492,Melospiza melodia
997733,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-997697-997733,997733,Peucaea aestivalis
997961,202423-914154-914156-158852-331030-914179-914181-174371-178265-1189744-997713-997961,997961,Spizelloides arborea
178277,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277,178277,Unidentified flycatcher
178279,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178278-178279,178279,Tyrannus tyrannus
178287,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178278-178287,178287,Tyrannus verticalis
178293,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178278-178293,178293,Tyrannus forficatus
178309,202423-914154-914156-158852-331030-914179-914181-174371-178265-178277-178308-178309,178309,Myiarchus crinitus
179124,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179123-179124,179124,Cardinalis cardinalis
179139,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179138-179139,179139,Pheucticus ludovicianus
179150,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179149-179150,179150,Passerina cyanea
179156,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179149-179156,179156,Passerina ciris
726198,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179149-726198,726198,Passerina caerulea
179165,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179164-179165,179165,Spiza americana
179883,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179881-179883,179883,Piranga olivacea
179888,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179881-179888,179888,Piranga rubra
179628,202423-914154-914156-158852-331030-914179-914181-174371-178265-553446-179627-179628,179628,Passer domesticus
175122,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175121-175122,175122,Aix sponsa
175125,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175124-175125,175125,Aythya americana
175183,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175182-175183,175183,Lophodytes cucullatus
175604,202423-914154-914156-158852-331030-914179-914181-174371-175262-175593-823970-175598-175604,175604,Falco peregrinus
175622,202423-914154-914156-158852-331030-914179-914181-174371-175262-175593-823970-175598-175622,175622,Falco sparverius
175834,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-175833-175834,175834,Tympanuchus cupido
175841,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-175833-175841,175841,Tympanuchus phasianellus
175905,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-175904-175905,175905,Phasianus colchicus
176136,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-176135-176136,176136,Meleagris gallopavo
175863,202423-914154-914156-158852-331030-914179-914181-174371-175693-553439-175862-175863,175863,Colinus virginianus
176207,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176206-176207,176207,Rallus elegans
176242,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176240-176242,176242,Porzana carolina
176284,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176283-176284,176284,Gallinula chloropus
176292,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176289-176292,176292,Fulica americana
707815,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176388-707815,707815,Porphyrio martinica
176520,202423-914154-914156-158852-331030-914179-914181-174371-176445-176479-176503-176520,176520,Charadrius vociferus
