AOUCode,TSN,CommonName,ScientificName,Family
ACFL,178339,acadian flycatcher,Empidonax virescens,Tyrannidae
AMBI,174856,american Bittern,Botaurus lentiginosus,Ardeidae
AMCO,176292,american Coot,Fulica americana,Rallidae
AMCR,179731,american crow,Corvus brachyrhynchos,Corvidae
AMGO,179249,american goldfinch,Spinus tristis,Fringillidae
AMKE,175622,american kestrel,Falco sparverius,Falconidae
AMRE,178979,american redstart,Setophaga ruticilla,Parulidae
AMRO,179759,american robin,Turdus migratorius,Turdidae
AMWO,176580,american woodcock,Scolopax minor,Scolopacidae
ANHI,174755,anhinga,Anhinga anhinga,Anhingidae
ATSP,997961,american tree sparrow,Spizelloides arborea,Emberizidae
BACS,997733,bachman's Sparrow,Peucaea aestivalis,Emberizidae
BAEA,175420,bald eagle,Haliaeetus leucocephalus,Accipitridae
BANS,178436,bank swallow,Riparia riparia,Hirundinidae
BAOR,179083,northern oriole,Icterus galbula,Icteridae
BARS,178448,barn swallow,Hirundo rustica,Hirundinidae
BAWW,178844,black-and-white warbler,Mniotilta varia,Parulidae
BBCU,177834,black-billed cuckoo,Coccyzus erythropthalmus,Cuculidae
BBSA,176684,buff-breasted sandpiper,Tryngites subruficollis,Scolopacidae
BBWA,950036,bay-breasted warbler,Setophaga castanea,Parulidae
BCCH,554382,black-capped chickadee,Poecile atricapillus,Paridae
BCNH,174832,black-crowned night-heron,Nycticorax nycticorax,Ardeidae
BADO,177921,barred owl,Strix varia,Strigidae
BEKI,178106,belted kingfisher,Megaceryle alcyon,Alcedinidae
BEVI,179003,bell's vireo,Vireo bellii,Vireonidae
BEWR,178562,bewick's wren,Thryomanes bewickii,Troglodytidae
BGGN,179853,blue-gray gnatcatcher,Polioptila caerulea,Polioptilidae
BHCO,179112,brown-headed cowbird,Molothrus ater,Icteridae
BLBW,950037,blackburnian warbler,Setophaga fusca,Parulidae
BLGR,726198,blue grosbeak,Passerina caerulea,Cardinalidae
BLJA,179680,blue jay,Cyanocitta cristata,Corvidae
BLPW,950041,blackpoll warbler,Setophaga striata,Parulidae
BLTE,176959,black tern,Chlidonias niger,Laridae
BLVU,175272,black vulture,Coragyps atratus,Cathartidae
BOBO,179032,bobolink,Dolichonyx oryzivorus,Icteridae
BRBL,179094,brewer's blackbird,Euphagus cyanocephalus,Icteridae
BRCR,178803,brown creeper,Certhia americana,Certhiidae
BRTH,178627,brown thrasher,Toxostoma rufum,Mimidae
BTBW,950042,black-throated blue warbler,Setophaga caerulescens,Parulidae
BTNW,950061,black-throated green warbler,Setophaga virens,Parulidae
BUOW,177946,burrowing owl,Athene cunicularia,Strigidae
BWHA,175365,broad-winged hawk,Buteo platypterus,Accipitridae
BWTE,175086,blue-winged teal,Anas discors,Anatidae
BWWA,950011,blue-winged warbler,Vermivora cyanoptera,Parulidae
CACH,554383,carolina chickadee,Poecile carolinensis,Paridae
CAEG,174803,cattle egret,Bubulcus ibis,Ardeidae
CANG,174999,canada goose,Branta canadensis,Anatidae
CARW,178581,carolina wren,Thryothorus ludovicianus,Troglodytidae
CAWA,950079,canada warbler,Cardellina canadensis,Parulidae
CCSP,179439,clay-colored sparrow,Spizella pallida,Emberizidae
CEDW,178532,cedar waxwing,Bombycilla cedrorum,Bombycillidae
CERW,950032,cerulean warbler,Setophaga cerulea,Parulidae
CHSP,179435,chipping sparrow,Spizella passerina,Emberizidae
CHSW,178001,chimney swift,Chaetura pelagica,Apodidae
CITE,175089,cinnamon teal,Anas cyanoptera,Anatidae
CLSW,178455,cliff swallow,Petrochelidon pyrrhonota,Hirundinidae
COGR,179104,common grackle,Quiscalus quiscula,Icteridae
COHA,175309,cooper's hawk,Accipiter cooperii,Accipitridae
COMO,176284,common moorhen,Gallinula chloropus,Rallidae
CONI,177979,common nighthawk,Chordeiles minor,Caprimulgidae
COSN,176700,common snipe,Gallinago gallinago,Scolopacidae
COYE,178944,common yellowthroat,Geothlypis trichas,Parulidae
CSWA,950040,chestnut-sided warbler,Setophaga pensylvanica,Parulidae
CWWI,1077350,chuck-will's-widow,Antrostomus carolinensis,Caprimulgidae
DCCO,174717,double-crested cormorant,Phalacrocorax auritus,Phalacrocoracidae
DICK,179165,dickcissel,Spiza americana,Cardinalidae
DOWO,1145276,downy woodpecker,Dryobates pubescens,Picidae
EABL,179801,eastern bluebird,Sialia sialis,Turdidae
EAKI,178279,eastern kingbird,Tyrannus tyrannus,Tyrannidae
EAME,179034,eastern meadowlark,Sturnella magna,Icteridae
EAPH,178329,eastern phoebe,Sayornis phoebe,Tyrannidae
EATO,179276,"rufous-sided towhee, eastern towhee",Pipilo erythrophthalmus,Emberizidae
EAWP,178359,eastern wood-pewee,Contopus virens,Tyrannidae
EUCD,177139,eurasian collared-dove,Streptopelia decaocto,Columbidae
EUST,179637,european starling,Sturnus vulgaris,Sturnidae
FICR,179737,fish crow,Corvus ossifragus,Corvidae
FISP,179443,field sparrow,Spizella pusilla,Emberizidae
GBHE,174773,great blue heron,Ardea herodias,Ardeidae
GCFL,178309,great crested flycatcher,Myiarchus crinitus,Tyrannidae
GCKI,179865,golden-crowned kinglet,Regulus satrapa,Regulidae
GHOW,177884,great horned owl,Bubo virginianus,Strigidae
GRPC,175834,greater prairie-chicken,Tympanuchus cupido,Phasianidae
GRCA,178625,gray catbird,Dumetella carolinensis,Mimidae
GREG,554135,great egret,Ardea alba,Ardeidae
GRHE,174793,green (green-backed) heron,Butorides virescens,Ardeidae
GRSP,179333,grasshopper sparrow,Ammodramus savannarum,Emberizidae
GTGR,179109,great-tailed grackle,Quiscalus mexicanus,Icteridae
GWWA,178852,golden-winged warbler,Vermivora chrysoptera,Parulidae
HAWO,1145285,hairy woodpecker,Leuconotopicus villosus,Picidae
HESP,179340,henslow's sparrow,Ammodramus henslowii,Emberizidae
HETH,179779,hermit thrush,Catharus guttatus,Turdidae
HOFI,997805,house finch,Haemorhous mexicanus,Fringillidae
HOLA,554256,horned lark,Eremophila alpestris,Alaudidae
HOME,175183,hooded merganser,Lophodytes cucullatus,Anatidae
HOSP,179628,house sparrow,Passer domesticus,Passeridae
HOWA,950029,hooded warbler,Setophaga citrina,Parulidae
HOWR,178541,house wren,Troglodytes aedon,Troglodytidae
INBU,179150,indigo bunting,Passerina cyanea,Cardinalidae
KEWA,950025,kentucky warbler,Geothlypis formosa,Parulidae
KILL,176520,killdeer,Charadrius vociferus,Charadriidae
KIRA,176207,king rail,Rallus elegans,Rallidae
LALO,179526,lapland Longspur,Calcarius lapponicus,Calcariidae
LARB,179312,lark bunting,Calamospiza melanocorys,Emberizidae
LASP,179371,lark sparrow,Chondestes grammacus,Emberizidae
LBHE,174827,little blue heron,Egretta caerulea,Ardeidae
LEBI,174846,least bittern,Ixobrychus exilis,Ardeidae
LEFL,178344,least flycatcher,Empidonax minimus,Tyrannidae
LETE,824127,least tern,Sternula antillarum,Laridae
LISP,179484,lincoln's sparrow,Melospiza lincolnii,Emberizidae
LOSH,178515,loggerhead shrike,Lanius ludovicianus,Laniidae
LOWA,950009,louisiana waterthrush,Parkesia motacilla,Parulidae
